occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings,automation_prob,occupation_fo,risk_tier,soc_major,occupation_group,education_level,wage_norm,edu_norm,adaptive_capacity_score,vulnerable,growth_direction,genai_exposure_2025,genai_exposure_2023
      File clerks,43-4071,84.3,70.9,-13.4,-15.9,41270.0,High school diploma or equivalent,7.3,0.97,File clerks,High,43,Office & Admin Support,1.0,0.0565567094278151,0.16666666666666666,0.11161168804724088,True,Declining,0.37,0.44
"      Hotel, motel, and resort desk clerks",43-4081,264.2,274.0,9.9,3.7,34270.0,High school diploma or equivalent,43.6,0.94,"Hotel, motel, and resort desk clerks",High,43,Office & Admin Support,1.0,0.020922419059254738,0.16666666666666666,0.0937945428629607,True,Growing,0.51,0.68
"      Interviewers, except eligibility and loan",43-4111,164.3,145.1,-19.1,-11.6,43830.0,High school diploma or equivalent,15.8,0.94,"Interviewers, except eligibility and loan",High,43,Office & Admin Support,1.0,0.06958867847688863,0.16666666666666666,0.11812767257177764,True,Declining,0.55,0.71
"      Library assistants, clerical",43-4121,84.5,78.9,-5.6,-6.7,36010.0,High school diploma or equivalent,12.8,0.95,"Library assistants, clerical",High,43,Office & Admin Support,1.0,0.029780085522296884,0.16666666666666666,0.09822337609448177,True,Declining,0.46,0.4
      Loan interviewers and clerks,43-4131,177.6,173.5,-4.1,-2.3,48950.0,High school diploma or equivalent,13.3,0.92,Loan interviewers and clerks,High,43,Office & Admin Support,1.0,0.09565261657503563,0.16666666666666666,0.13115964162085114,False,Declining,0.64,0.66
      New accounts clerks,43-4141,38.9,33.8,-5.2,-13.2,46610.0,High school diploma or equivalent,2.3,0.99,New accounts clerks,High,43,Office & Admin Support,1.0,0.08374058236611687,0.16666666666666666,0.12520362451639178,True,Declining,0.64,0.66
      Order clerks,43-4151,89.5,74.1,-15.4,-17.2,44660.0,"Some college, no degree",8.0,0.98,Order clerks,High,43,Office & Admin Support,2.0,0.07381388719201792,0.3333333333333333,0.20357361026267562,False,Declining,0.63,0.72
"      Human resources assistants, except payroll and timekeeping",43-4161,95.2,88.4,-6.8,-7.1,49440.0,Associate's degree,9.0,0.9,"Human resources assistants, except payroll and timekeeping",High,43,Office & Admin Support,3.0,0.09814701690083485,0.5,0.2990735084504174,False,Declining,0.6,0.71
      Receptionists and information clerks,43-4171,1007.2,1007.6,0.3,0.0,37230.0,High school diploma or equivalent,128.5,0.96,Receptionists and information clerks,High,43,Office & Admin Support,1.0,0.03599063327224597,0.16666666666666666,0.10132864996945631,True,Stable,0.5733333333333333,0.6933333333333334
      Reservation and transportation ticket agents and travel clerks,43-4181,131.9,135.6,3.7,2.8,41460.0,High school diploma or equivalent,14.4,0.61,Reservation and transportation ticket agents and travel clerks,Medium,43,Office & Admin Support,1.0,0.057523925880676036,0.16666666666666666,0.11209529627367135,False,Growing,0.56,0.74
      Cargo and freight agents,43-5011,100.6,109.2,8.6,8.5,49900.0,High school diploma or equivalent,8.8,0.99,Cargo and freight agents,High,43,Office & Admin Support,1.0,0.10048869883934028,0.16666666666666666,0.13357768275300347,False,Growing,0.505,0.515
      Couriers and messengers,43-5021,247.2,267.6,20.4,8.2,38340.0,High school diploma or equivalent,27.9,0.94,Couriers and messengers,High,43,Office & Admin Support,1.0,0.0416412136021177,0.16666666666666666,0.10415394013439218,True,Growing,0.31,0.2925
        Public safety telecommunicators,43-5031,105.2,108.9,3.6,3.5,50730.0,High school diploma or equivalent,10.7,0.49,"Police, fire, and ambulance dispatchers",Medium,43,Office & Admin Support,1.0,0.10471390755446955,0.16666666666666666,0.1356902871105681,False,Growing,0.2,0.21
"        Dispatchers, except police, fire, and ambulance",43-5032,218.7,216.7,-2.1,-0.9,48880.0,High school diploma or equivalent,18.5,0.96,"Dispatchers, except police, fire, and ambulance",High,43,Office & Admin Support,1.0,0.09529627367135002,0.16666666666666666,0.13098147016900835,False,Declining,0.5,0.55
"      Meter readers, utilities",43-5041,20.1,17.7,-2.4,-12.0,49180.0,High school diploma or equivalent,1.3,0.85,"Meter readers, utilities",High,43,Office & Admin Support,1.0,0.09682345754428831,0.16666666666666666,0.13174506210547748,False,Declining,0.38,0.36
        Postal service clerks,43-5051,74.2,71.6,-2.6,-3.5,61630.0,No formal educational credential,6.1,0.95,Postal service clerks,High,43,Office & Admin Support,0.0,0.16020158827122785,0.0,0.08010079413561393,True,Declining,0.495,0.6
        Postal service mail carriers,43-5052,319.4,308.1,-11.3,-3.5,57490.0,No formal educational credential,20.6,0.68,Postal service mail carriers,Medium,43,Office & Admin Support,0.0,0.1391264508246793,0.0,0.06956322541233965,False,Declining,0.41,0.48
"        Postal service mail sorters, processors, and processing machine operators",43-5053,106.4,97.5,-8.9,-8.4,56530.0,No formal educational credential,7.8,0.79,"Postal service mail sorters, processors, and processing machine operators",High,43,Office & Admin Support,0.0,0.13423946243127674,0.0,0.06711973121563837,True,Declining,0.41,0.48
"      Production, planning, and expediting clerks",43-5061,388.8,381.7,-7.1,-1.8,57770.0,High school diploma or equivalent,34.1,0.88,"Production, planning, and expediting clerks",High,43,Office & Admin Support,1.0,0.1405518224394217,0.16666666666666666,0.15360924455304417,False,Declining,0.44,0.6
"      Shipping, receiving, and inventory clerks",43-5071,862.2,795.8,-66.3,-7.7,43190.0,High school diploma or equivalent,69.3,0.98,"Shipping, receiving, and traffic clerks",High,43,Office & Admin Support,1.0,0.06633068621462024,0.16666666666666666,0.11649867644064345,True,Declining,0.47,0.405
"      Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,49.8,47.4,-2.4,-4.8,45650.0,High school diploma or equivalent,5.3,0.95,"Weighers, measurers, checkers, and samplers, recordkeeping",High,43,Office & Admin Support,1.0,0.07885359397271433,0.16666666666666666,0.12276013031969049,True,Declining,0.37,0.35
      Executive secretaries and executive administrative assistants,43-6011,502.8,494.9,-7.9,-1.6,74260.0,High school diploma or equivalent,50.0,0.86,Executive secretaries and executive administrative assistants,High,43,Office & Admin Support,1.0,0.22449602932193038,0.16666666666666666,0.19558134799429852,False,Declining,0.54,0.58
      Legal secretaries and administrative assistants,43-6012,156.3,147.3,-9.0,-5.8,54140.0,High school diploma or equivalent,19.6,0.98,Legal secretaries,High,43,Office & Admin Support,1.0,0.12207289757686826,0.16666666666666666,0.14436978212176746,False,Declining,0.55,0.64
      Medical secretaries and administrative assistants,43-6013,850.0,885.3,35.3,4.2,44640.0,High school diploma or equivalent,85.9,0.81,Medical secretaries,High,43,Office & Admin Support,1.0,0.07371207493382204,0.16666666666666666,0.12018937080024435,True,Growing,0.53,0.61
"      Secretaries and administrative assistants, except legal, medical, and executive",43-6014,1944.0,1913.2,-30.8,-1.6,46290.0,High school diploma or equivalent,202.8,0.96,"Secretaries and administrative assistants, except legal, medical, and executive",High,43,Office & Admin Support,1.0,0.08211158623498269,0.16666666666666666,0.12438912645082467,True,Declining,0.58,0.64
        Data entry keyers,43-9021,141.6,104.9,-36.7,-25.9,39850.0,High school diploma or equivalent,9.5,0.99,Data entry keyers,High,43,Office & Admin Support,1.0,0.049328039095907134,0.16666666666666666,0.1079973528812869,True,Declining,0.7,0.7
        Word processors and typists,43-9022,40.0,25.6,-14.4,-36.1,47850.0,High school diploma or equivalent,2.2,0.81,Word processors and typists,High,43,Office & Admin Support,1.0,0.09005294237426187,0.16666666666666666,0.12835980452046425,False,Declining,0.65,0.77
      Desktop publishers,43-9031,5.0,4.4,-0.6,-12.4,53620.0,Associate's degree,0.4,0.16,Desktop publishers,Low,43,Office & Admin Support,3.0,0.11942577886377517,0.5,0.3097128894318876,False,Declining,0.38,0.26
      Insurance claims and policy processing clerks,43-9041,256.7,247.2,-9.5,-3.7,48450.0,High school diploma or equivalent,20.3,0.98,Insurance claims and policy processing clerks,High,43,Office & Admin Support,1.0,0.09310731012013845,0.16666666666666666,0.12988698839340257,False,Declining,0.64,0.66
"      Mail clerks and mail machine operators, except postal service",43-9051,67.4,62.9,-4.4,-6.6,38150.0,High school diploma or equivalent,6.9,0.94,"Mail clerks and mail machine operators, except postal service",High,43,Office & Admin Support,1.0,0.04067399714925676,0.16666666666666666,0.10367033190796171,True,Declining,0.41,0.48
"      Office clerks, general",43-9061,2646.0,2468.2,-177.8,-6.7,43630.0,High school diploma or equivalent,282.4,0.96,"Office clerks, general",High,43,Office & Admin Support,1.0,0.06857055589492975,0.16666666666666666,0.1176186112807982,True,Declining,0.6,0.68
"      Office machine operators, except computer",43-9071,25.5,21.6,-3.9,-15.2,39020.0,High school diploma or equivalent,2.8,0.92,"Office machine operators, except computer",High,43,Office & Admin Support,1.0,0.045102830380777836,0.16666666666666666,0.10588474852372225,True,Declining,0.37,0.44
      Proofreaders and copy markers,43-9081,12.0,11.9,-0.1,-0.6,49210.0,Bachelor's degree,1.9,0.84,Proofreaders and copy markers,High,43,Office & Admin Support,4.0,0.09697617593158217,0.6666666666666666,0.3818214212991244,False,Declining,0.51,0.65
      Statistical assistants,43-9111,6.5,6.3,-0.2,-2.5,51440.0,Bachelor's degree,0.8,0.66,Statistical assistants,Medium,43,Office & Admin Support,4.0,0.10832824272042355,0.6666666666666666,0.3874974546935451,False,Declining,0.57,0.48
"      First-line supervisors of farming, fishing, and forestry workers",45-1011,65.4,67.0,1.6,2.5,59330.0,High school diploma or equivalent,8.5,0.57,"First-line supervisors of farming, fishing, and forestry workers",Medium,45,Farming & Fishing,1.0,0.1484931785787009,0.16666666666666666,0.15757992262268378,False,Growing,0.17461538461538462,0.2030769230769231
      Agricultural inspectors,45-2011,14.7,14.9,0.2,1.5,50990.0,Bachelor's degree,2.2,0.94,Agricultural inspectors,High,45,Farming & Fishing,4.0,0.10603746691101609,0.6666666666666666,0.3863520667888414,False,Growing,0.3033333333333333,0.34
      Animal breeders,45-2021,7.9,8.1,0.2,2.4,52000.0,High school diploma or equivalent,1.2,0.95,Animal breeders,High,45,Farming & Fishing,1.0,0.11117898594990835,0.16666666666666666,0.1389228263082875,False,Growing,0.19833333333333333,0.235
"      Graders and sorters, agricultural products",45-2041,38.9,36.8,-2.1,-5.4,35430.0,No formal educational credential,5.1,0.41,"Graders and sorters, agricultural products",Medium,45,Farming & Fishing,0.0,0.02682753003461616,0.0,0.01341376501730808,False,Declining,0.18666666666666668,0.18000000000000002
      Forest and conservation workers,45-4011,10.8,10.3,-0.5,-4.7,43680.0,High school diploma or equivalent,2.0,0.87,Forest and conservation workers,High,45,Farming & Fishing,1.0,0.06882508654041947,0.16666666666666666,0.11774587660354306,True,Declining,0.105,0.125
        Fallers,45-4021,5.6,5.2,-0.4,-7.3,53900.0,High school diploma or equivalent,0.7,0.76,Fallers,High,45,Farming & Fishing,1.0,0.1208511504785176,0.16666666666666666,0.14375890857259213,False,Declining,0.12,0.14
        Logging equipment operators,45-4022,30.9,30.5,-0.4,-1.4,49210.0,High school diploma or equivalent,4.2,0.79,Logging equipment operators,High,45,Farming & Fishing,1.0,0.09697617593158217,0.16666666666666666,0.1318214212991244,False,Declining,0.12,0.13
        Log graders and scalers,45-4023,4.6,4.6,0.0,-0.7,46710.0,High school diploma or equivalent,0.6,0.97,Log graders and scalers,High,45,Farming & Fishing,1.0,0.08424964365709631,0.16666666666666666,0.12545815516188147,True,Declining,0.12,0.14
      First-line supervisors of construction trades and extraction workers,47-1011,921.6,970.6,49.0,5.3,78690.0,High school diploma or equivalent,74.4,0.17,First-line supervisors of construction trades and extraction workers,Low,47,Construction & Extraction,1.0,0.24704744451231928,0.16666666666666666,0.20685705558949297,False,Growing,0.28500000000000003,0.25
      Boilermakers,47-2011,10.4,10.1,-0.2,-2.4,73340.0,High school diploma or equivalent,0.8,0.68,Boilermakers,Medium,47,Construction & Extraction,1.0,0.2198126654449196,0.16666666666666666,0.19323966605579312,False,Declining,0.21,0.21
        Brickmasons and blockmasons,47-2021,74.1,76.4,2.4,3.2,60800.0,High school diploma or equivalent,5.6,0.82,Brickmasons and blockmasons,High,47,Construction & Extraction,1.0,0.15597637955609853,0.16666666666666666,0.1613215231113826,False,Growing,0.09,0.1
        Stonemasons,47-2022,12.1,11.8,-0.4,-3.0,51990.0,High school diploma or equivalent,0.8,0.89,Stonemasons,High,47,Construction & Extraction,1.0,0.11112807982081044,0.16666666666666666,0.13889737324373855,False,Declining,0.11,0.12
      Carpenters,47-2031,959.0,1002.1,43.1,4.5,59310.0,High school diploma or equivalent,74.1,0.72,Carpenters,High,47,Construction & Extraction,1.0,0.148391366320505,0.16666666666666666,0.15752901649358583,False,Growing,0.13,0.13
        Carpet installers,47-2041,20.3,18.3,-1.9,-9.6,49850.0,No formal educational credential,1.1,0.87,Carpet Installers,High,47,Construction & Extraction,0.0,0.10023416819385053,0.0,0.050117084096925266,True,Declining,0.1,0.1
"        Floor layers, except carpet, wood, and hard tiles",47-2042,33.7,36.9,3.2,9.5,54340.0,No formal educational credential,2.7,0.79,"Floor layers, except carpet, wood, and hard tiles",High,47,Construction & Extraction,0.0,0.12309102015882714,0.0,0.06154551007941357,True,Growing,0.1,0.1
        Floor sanders and finishers,47-2043,5.6,5.8,0.1,2.6,49150.0,No formal educational credential,0.4,0.87,Floor sanders and finishers,High,47,Construction & Extraction,0.0,0.0966707391569945,0.0,0.04833536957849725,True,Growing,0.1,0.1
        Tile and stone setters,47-2044,52.6,58.0,5.3,10.1,52240.0,No formal educational credential,4.2,0.75,Tile and marble setters,High,47,Construction & Extraction,0.0,0.11240073304825901,0.0,0.056200366524129505,True,Growing,0.1,0.1
        Cement masons and concrete finishers,47-2051,206.7,210.4,3.8,1.8,54660.0,No formal educational credential,14.3,0.94,Cement masons and concrete finishers,High,47,Construction & Extraction,0.0,0.1247200162899613,0.0,0.06236000814498065,True,Growing,0.1,0.09
        Terrazzo workers and finishers,47-2053,1.5,1.3,-0.2,-11.1,57260.0,High school diploma or equivalent,0.1,0.88,Terrazzo workers and finishers,High,47,Construction & Extraction,1.0,0.13795560985542657,0.16666666666666666,0.1523111382610466,False,Declining,0.1,0.09
      Construction laborers,47-2061,1457.0,1563.4,106.5,7.3,46730.0,No formal educational credential,129.4,0.88,Construction labourers,High,47,Construction & Extraction,0.0,0.0843514559152922,0.0,0.0421757279576461,True,Growing,0.09,0.1
"        Paving, surfacing, and tamping equipment operators",47-2071,47.0,48.6,1.5,3.2,51650.0,High school diploma or equivalent,4.0,0.83,"Paving, surfacing, and tamping equipment operators",High,47,Construction & Extraction,1.0,0.10939727143148034,0.16666666666666666,0.1380319690490735,False,Growing,0.13,0.12
        Pile driver operators,47-2072,3.2,3.3,0.1,4.3,70510.0,High school diploma or equivalent,0.3,0.82,Pile-driver operators,High,47,Construction & Extraction,1.0,0.20540623091020158,0.16666666666666666,0.18603644878843412,False,Growing,0.13,0.12
        Operating engineers and other construction equipment operators,47-2073,489.3,507.1,17.8,3.6,58710.0,High school diploma or equivalent,41.9,0.95,Operating engineers and other construction equipment operators,High,47,Construction & Extraction,1.0,0.14533699857462837,0.16666666666666666,0.1560018326206475,False,Growing,0.13,0.12
        Drywall and ceiling tile installers,47-2081,103.1,107.4,4.3,4.2,58140.0,No formal educational credential,7.7,0.79,Drywall and ceiling tile installers,High,47,Construction & Extraction,0.0,0.1424353492160456,0.0,0.0712176746080228,True,Growing,0.11,0.12
        Tapers,47-2082,15.6,15.6,0.0,0.1,64700.0,No formal educational credential,1.1,0.62,Tapers,Medium,47,Construction & Extraction,0.0,0.17582976990429647,0.0,0.08791488495214823,False,Growing,0.11,0.12
      Electricians,47-2111,818.7,896.1,77.4,9.5,62350.0,High school diploma or equivalent,81.0,0.15,Electricians,Low,47,Construction & Extraction,1.0,0.16386682956627976,0.16666666666666666,0.1652667481164732,False,Growing,0.19,0.18
      Glaziers,47-2121,60.5,62.5,2.0,3.3,55440.0,High school diploma or equivalent,5.1,0.73,Glaziers,High,47,Construction & Extraction,1.0,0.12869069435960087,0.16666666666666666,0.14767868051313376,False,Growing,0.14,0.1
"        Insulation workers, floor, ceiling, and wall",47-2131,40.2,41.7,1.5,3.8,48680.0,No formal educational credential,3.4,0.83,"Insulation workers, floor, ceiling, and wall",High,47,Construction & Extraction,0.0,0.09427815108939117,0.0,0.04713907554469558,True,Growing,0.13,0.12
"        Insulation workers, mechanical",47-2132,27.2,28.5,1.3,4.7,57250.0,High school diploma or equivalent,2.3,0.64,"Insulation workers, mechanical",Medium,47,Construction & Extraction,1.0,0.13790470372632865,0.16666666666666666,0.15228568519649766,False,Growing,0.13,0.12
"        Painters, construction and maintenance",47-2141,342.2,355.2,13.0,3.8,48660.0,No formal educational credential,28.1,0.75,"Painters, construction and maintenance",High,47,Construction & Extraction,0.0,0.09417633883119528,0.0,0.04708816941559764,True,Growing,0.13,0.12
        Paperhangers,47-2142,2.3,2.5,0.1,5.3,48260.0,No formal educational credential,0.2,0.87,Paperhangers,High,47,Construction & Extraction,0.0,0.09214009366727755,0.0,0.04607004683363877,True,Growing,0.13,0.12
        Pipelayers,47-2151,34.4,32.9,-1.4,-4.1,48710.0,No formal educational credential,2.4,0.62,Pipelayers,Medium,47,Construction & Extraction,0.0,0.094430869476685,0.0,0.0472154347383425,False,Declining,0.18,0.16
"        Plumbers, pipefitters, and steamfitters",47-2152,504.5,527.2,22.7,4.5,62970.0,High school diploma or equivalent,44.0,0.35,"Plumbers, pipefitters, and steamfitters",Medium,47,Construction & Extraction,1.0,0.1670230095703523,0.16666666666666666,0.16684483811850948,False,Growing,0.18,0.16
      Plasterers and stucco masons,47-2161,24.2,25.2,1.0,4.1,56020.0,No formal educational credential,1.9,0.84,Plasterers and stucco masons,High,47,Construction & Extraction,0.0,0.13164324984728162,0.0,0.06582162492364081,True,Growing,0.11,0.12
      Reinforcing iron and rebar workers,47-2171,19.4,20.3,0.9,4.6,59280.0,High school diploma or equivalent,1.5,0.9,Reinforcing iron and rebar workers,High,47,Construction & Extraction,1.0,0.14823864793321115,0.16666666666666666,0.1574526572999389,False,Growing,0.11,0.12
      Roofers,47-2181,166.7,176.5,9.8,5.9,50970.0,No formal educational credential,12.7,0.9,Roofers,High,47,Construction & Extraction,0.0,0.1059356546528202,0.0,0.0529678273264101,True,Growing,0.13,0.11
      Sheet metal workers,47-2211,127.0,130.1,3.1,2.4,60850.0,High school diploma or equivalent,10.6,0.82,Sheet metal workers,High,47,Construction & Extraction,1.0,0.15623091020158827,0.16666666666666666,0.16144878843412747,False,Growing,0.21,0.21
      Structural iron and steel workers,47-2221,65.7,68.6,2.9,4.4,62700.0,High school diploma or equivalent,5.5,0.83,Structural iron and steel workers,High,47,Construction & Extraction,1.0,0.16564854408470778,0.16666666666666666,0.16615760537568722,False,Growing,0.11,0.12
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,16.1,14.4,-1.7,-10.5,46480.0,No formal educational credential,1.4,0.83,"Helpers–brickmasons, blockmasons, stonemasons, and tile and marble setters",High,47,Construction & Extraction,0.0,0.08307880268784362,0.0,0.04153940134392181,True,Declining,0.09,0.1
      Helpers--carpenters,47-3012,25.2,26.4,1.1,4.5,41600.0,No formal educational credential,2.7,0.92,Helpers–carpenters,High,47,Construction & Extraction,0.0,0.05823661168804725,0.0,0.029118305844023626,True,Growing,0.09,0.1
      Helpers--electricians,47-3013,66.6,66.7,0.1,0.2,39890.0,High school diploma or equivalent,6.8,0.74,Helpers–electricians,High,47,Construction & Extraction,1.0,0.04953166361229891,0.16666666666666666,0.10809916513948278,True,Growing,0.09,0.1
"      Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,7.4,7.6,0.2,2.3,38140.0,No formal educational credential,0.8,0.94,"Helpers–painters, paperhangers, plasterers, and stucco masons",High,47,Construction & Extraction,0.0,0.04062309102015882,0.0,0.02031154551007941,True,Growing,0.09,0.1
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,45.3,47.5,2.2,4.9,39270.0,High school diploma or equivalent,4.9,0.57,"Helpers–pipelayers, plumbers, pipefitters, and steamfitters",Medium,47,Construction & Extraction,1.0,0.04637548360822644,0.16666666666666666,0.10652107513744655,False,Growing,0.09,0.1
      Helpers--roofers,47-3016,5.2,5.5,0.3,5.7,40590.0,No formal educational credential,0.6,0.72,Helpers–roofers,High,47,Construction & Extraction,0.0,0.05309509264915496,0.0,0.02654754632457748,True,Growing,0.09,0.1
      Construction and building inspectors,47-4011,147.6,146.5,-1.2,-0.8,72120.0,High school diploma or equivalent,14.8,0.63,Construction and building inspectors,Medium,47,Construction & Extraction,1.0,0.21360211769497048,0.16666666666666666,0.19013439218081857,False,Declining,0.28,0.31
      Elevator and escalator installers and repairers,47-4021,24.2,25.4,1.2,5.0,106580.0,High school diploma or equivalent,2.0,0.39,Elevator installers and repairers,Medium,47,Construction & Extraction,1.0,0.3890246385664834,0.16666666666666666,0.277845652616575,False,Growing,0.17,0.14
      Fence erectors,47-4031,26.4,27.6,1.2,4.6,46940.0,No formal educational credential,2.3,0.92,Fence erectors,High,47,Construction & Extraction,0.0,0.08542048462634902,0.0,0.04271024231317451,True,Growing,0.09,0.08
      Hazardous materials removal workers,47-4041,51.3,51.8,0.5,1.0,48490.0,High school diploma or equivalent,5.0,0.53,Hazardous materials removal workers,Medium,47,Construction & Extraction,1.0,0.09331093463653023,0.16666666666666666,0.12998880065159846,False,Growing,0.09,0.08
      Highway maintenance workers,47-4051,159.1,163.9,4.8,3.0,49070.0,High school diploma or equivalent,12.3,0.87,Highway maintenance workers,High,47,Construction & Extraction,1.0,0.09626349012421095,0.16666666666666666,0.1314650783954388,False,Growing,0.09,0.1
      Rail-track laying and maintenance equipment operators,47-4061,15.0,15.3,0.2,1.6,67370.0,High school diploma or equivalent,1.1,0.89,Rail-track laying and maintenance equipment operators,High,47,Construction & Extraction,1.0,0.18942170637344738,0.16666666666666666,0.17804418652005702,False,Growing,0.09,0.1
      Septic tank servicers and sewer pipe cleaners,47-4071,30.4,32.7,2.3,7.6,49140.0,High school diploma or equivalent,2.9,0.83,Septic tank servicers and sewer pipe cleaners,High,47,Construction & Extraction,1.0,0.09661983302789653,0.16666666666666666,0.1316432498472816,False,Growing,0.1,0.12
"        Derrick operators, oil and gas",47-5011,11.3,11.3,0.1,0.5,62740.0,No formal educational credential,1.0,0.8,"Derrick operators, oil and gas",High,47,Construction & Extraction,0.0,0.16585216860109955,0.0,0.08292608430054978,True,Growing,0.19,0.22
"        Rotary drill operators, oil and gas",47-5012,13.3,13.4,0.0,0.2,65010.0,No formal educational credential,1.2,0.53,"Rotary drill operators, oil and gas",Medium,47,Construction & Extraction,0.0,0.1774078599063327,0.0,0.08870392995316635,False,Growing,0.19,0.22
"        Service unit operators, oil and gas",47-5013,45.2,45.4,0.2,0.4,57980.0,No formal educational credential,4.1,0.93,"Service unit operators, oil, gas, and mining",High,47,Construction & Extraction,0.0,0.14162085115047854,0.0,0.07081042557523927,True,Growing,0.19,0.22
        Continuous mining machine operators,47-5041,14.9,15.0,0.1,0.6,63380.0,No formal educational credential,1.6,0.54,Continuous mining machine operators,Medium,47,Construction & Extraction,0.0,0.16911016086336797,0.0,0.08455508043168398,False,Growing,0.17,0.24
"      Rock splitters, quarry",47-5051,3.2,3.4,0.1,4.4,47460.0,No formal educational credential,0.4,0.96,"Rock splitters, quarry",High,47,Construction & Extraction,0.0,0.08806760333944208,0.0,0.04403380166972104,True,Growing,0.17,0.24
"      Roustabouts, oil and gas",47-5071,46.0,47.1,1.1,2.5,47510.0,No formal educational credential,4.3,0.68,"Roustabouts, oil and gas",Medium,47,Construction & Extraction,0.0,0.08832213398493177,0.0,0.044161066992465886,False,Growing,0.19,0.22
      Helpers--extraction workers,47-5081,7.0,6.9,-0.1,-1.7,48400.0,High school diploma or equivalent,0.7,0.37,Helpers–extraction workers,Medium,47,Construction & Extraction,1.0,0.09285277947464873,0.16666666666666666,0.1297597230706577,False,Declining,0.11,0.13
"      First-line supervisors of mechanics, installers, and repairers",49-1011,617.5,636.5,19.1,3.1,78300.0,High school diploma or equivalent,52.4,0.003,"First-line supervisors of mechanics, installers, and repairers",Low,49,Installation & Repair,1.0,0.2450621054774995,0.16666666666666666,0.20586438607208307,False,Growing,0.18545454545454546,0.15727272727272726
"      Computer, automated teller, and office machine repairers",49-2011,79.1,78.4,-0.7,-0.9,46860.0,"Some college, no degree",7.6,0.74,"Computer, automated teller, and office machine repairers",High,49,Installation & Repair,2.0,0.08501323559356547,0.3333333333333333,0.2091732844634494,False,Declining,0.245,0.20500000000000002
"        Radio, cellular, and tower equipment installers and repairers",49-2021,11.7,12.7,1.0,8.6,64190.0,Associate's degree,1.2,0.93,"Radio, cellular, and tower equipment installers and repairs",High,49,Installation & Repair,3.0,0.17323355732030135,0.5,0.33661677866015066,False,Growing,0.24,0.16
"        Telecommunications equipment installers and repairers, except line installers",49-2022,156.9,150.4,-6.6,-4.2,62630.0,Postsecondary nondegree award,13.2,0.36,"Telecommunications equipment installers and repairers, except line installers",Medium,49,Installation & Repair,,0.1652922011810222,0.16666666666666666,0.16597943392384443,False,Declining,0.24,0.16
        Avionics technicians,49-2091,21.4,23.1,1.7,8.2,81390.0,Postsecondary nondegree award,1.8,0.7,Avionics technicians,High,49,Installation & Repair,,0.260792099368764,0.16666666666666666,0.21372938301771532,False,Growing,0.25,0.25
"        Electric motor, power tool, and related repairers",49-2092,17.1,17.7,0.6,3.4,53990.0,High school diploma or equivalent,1.7,0.76,"Electric motor, power tool, and related repairers",High,49,Installation & Repair,1.0,0.12130930564039913,0.16666666666666666,0.1439879861535329,False,Growing,0.17,0.14
"        Electrical and electronics installers and repairers, transportation equipment",49-2093,7.0,7.4,0.4,6.1,82730.0,Postsecondary nondegree award,0.6,0.91,"Electrical and electronics installers and repairers, transportation equipment",High,49,Installation & Repair,,0.26761352066788846,0.16666666666666666,0.21714009366727755,False,Growing,0.22,0.18333333333333335
"        Electrical and electronics repairers, commercial and industrial equipment",49-2094,61.1,60.7,-0.5,-0.8,71300.0,Postsecondary nondegree award,4.7,0.41,"Electrical and electronics repairers, commercial and industrial equipment",Medium,49,Installation & Repair,,0.20942781510893912,0.16666666666666666,0.1880472408878029,False,Declining,0.21000000000000002,0.195
"        Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,23.4,24.7,1.3,5.5,100940.0,Postsecondary nondegree award,2.0,0.38,"Electrical and electronics repairers, powerhouse, substation, and relay",Medium,49,Installation & Repair,,0.3603135817552433,0.16666666666666666,0.26349012421095497,False,Growing,0.21000000000000002,0.195
"        Electronic equipment installers and repairers, motor vehicles",49-2096,10.3,8.9,-1.4,-13.6,47940.0,High school diploma or equivalent,0.6,0.61,"Electronic equipment installers and repairers, motor vehicles",Medium,49,Installation & Repair,1.0,0.09051109753614334,0.16666666666666666,0.128588882101405,False,Declining,0.21000000000000002,0.195
        Audiovisual equipment installers and repairers,49-2097,24.6,26.3,1.6,6.6,50620.0,Postsecondary nondegree award,2.6,0.65,Electronic home entertainment equipment installers and repairers,Medium,49,Installation & Repair,,0.10415394013439219,0.16666666666666666,0.13541030340052942,False,Growing,0.24,0.16
        Security and fire alarm systems installers,49-2098,85.9,94.9,8.9,10.4,59300.0,High school diploma or equivalent,9.4,0.82,Security and fire alarm systems installers,High,49,Installation & Repair,1.0,0.14834046019140704,0.16666666666666666,0.15750356342903685,False,Growing,0.17,0.14
      Aircraft mechanics and service technicians,49-3011,139.4,145.0,5.6,4.0,78680.0,Postsecondary nondegree award,11.3,0.71,Aircraft mechanics and service technicians,High,49,Installation & Repair,,0.24699653838322136,0.16666666666666666,0.206831602524944,False,Growing,0.19,0.16
        Automotive body and related repairers,49-3021,172.6,175.4,2.8,1.6,51680.0,High school diploma or equivalent,14.6,0.91,Automotive body and related repairers,High,49,Installation & Repair,1.0,0.1095499898187742,0.16666666666666666,0.13810832824272043,False,Growing,0.18,0.14
